gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,costat,weburl
061940,2000-12-31,2000,INDL,C,D,STD,ACACIA DIVERSIFIED HLDGS INC,USD,A,www.acaciadiversifiedholdings.com
061941,2000-12-31,2000,INDL,C,D,STD,GLENBOROUGH REALTY TRUST INC,USD,I,www.glenborough.com
061941,2000-12-31,2000,FS,C,D,STD,GLENBOROUGH REALTY TRUST INC,USD,I,www.glenborough.com
061943,2000-10-31,2000,INDL,C,D,STD,GLOBUS WIRELESS LTD,USD,I,
061955,2000-11-30,2000,INDL,C,D,STD,AGF MANAGEMENT LTD  -CL B,CAD,A,www.agf.com
061955,2000-11-30,2000,FS,C,D,STD,AGF MANAGEMENT LTD  -CL B,CAD,A,www.agf.com
061960,2000-03-31,1999,INDL,C,D,STD,LEARNING CARE GROUP INC -OLD,USD,I,www.learningcaregroup.com
061971,2000-12-31,2000,INDL,C,D,STD,ENGLOBAL CORP,USD,A,www.englobal.com
061974,2000-11-30,2000,INDL,C,D,STD,PACER HEALTH CORP,USD,I,
061976,2000-12-31,2000,INDL,C,D,STD,HARBOR DIVERSIFIED INC,USD,A,
061979,2000-01-31,1999,INDL,C,D,STD,FIRST PHYSICIANS CAPITAL GRP,USD,A,avemhealth.com
061980,2000-09-30,2000,INDL,C,D,STD,AEOLUS PHARMACEUTICALS INC,USD,A,www.aeoluspharma.com
061982,2000-09-30,2000,INDL,C,D,STD,INTERWEST HOME MEDICAL INC,USD,I,
061984,2000-12-31,2000,INDL,C,D,STD,KSW INC,USD,I,www.kswmechanical.com
061986,2000-12-31,2000,INDL,C,D,STD,FIRSTPLUS FINANCIAL GROUP,USD,I,
061987,2000-09-30,2000,INDL,C,D,STD,OAK RIDGE CAPITAL GROUP INC,USD,I,
061988,2000-01-31,1999,INDL,C,D,STD,REMEC INC,USD,I,
061994,2000-09-30,2000,INDL,C,D,STD,UNITED STATES POSTAL SERVICE,USD,A,www.usps.gov
061996,2000-12-31,2000,INDL,C,D,STD,ARTHROCARE CORP,USD,I,www.arthrocare.com
062005,2000-12-31,2000,INDL,C,D,STD,DOCUMENTUM INC,USD,I,
062013,2000-12-31,2000,INDL,C,D,STD,BANKPLUS FSB,USD,I,
062013,2000-12-31,2000,FS,C,D,STD,BANKPLUS FSB,USD,I,
062016,2000-12-31,2000,INDL,C,D,STD,SIZMEK INC,USD,I,www.sizmek.com
062018,2000-12-31,2000,INDL,C,D,STD,COMMERCESOUTH INC,USD,I,
062018,2000-12-31,2000,FS,C,D,STD,COMMERCESOUTH INC,USD,I,
062019,2000-12-31,2000,INDL,C,D,STD,CARNEGIE DEV INC,USD,A,carnegiedevelopment.net
062027,2000-12-31,2000,INDL,C,D,STD,LARK TECHNOLOGIES INC,USD,I,
062032,2000-06-30,2000,INDL,C,D,STD,LOTUS PACIFIC INC,USD,I,
062036,2000-12-31,2000,INDL,C,D,STD,RENAL CARE GROUP INC,USD,I,
062037,2000-04-30,1999,INDL,C,D,STD,STEARNS & LEHMAN INC,USD,I,
062044,2000-12-31,2000,INDL,C,D,STD,KALEIDOSCOPE MEDIA GROUP INC,USD,I,
062046,2000-12-31,2000,INDL,C,D,STD,SPEEDUS CORP,USD,A,www.speedus.com
062049,2000-02-29,1999,INDL,C,D,STD,GLOBE BUSINESS RESOURCES INC,USD,I,
062056,2000-12-31,2000,INDL,C,D,STD,CERES VENTURES INC-OLD,USD,I,
062057,2000-12-31,2000,INDL,C,D,STD,WIDEPOINT CORP,USD,A,www.widepoint.com
062064,2000-12-31,2000,INDL,C,D,STD,RURAL CELLULAR CORP  -CL A,USD,I,www.rccwireless.com
062065,2000-12-31,2000,INDL,C,D,STD,TB WOOD'S CORP,USD,I,www.tbwoods.com
062070,2000-12-31,2000,INDL,C,D,STD,PAINCARE HOLDINGS INC,USD,I,
062072,2000-12-31,2000,INDL,C,D,STD,ALPHA PRO TECH LTD,USD,A,www.alphaprotech.com
062073,2000-09-30,2000,INDL,C,D,STD,AMERICAN HEALTHCHOICE INC,USD,I,
062079,2000-03-31,1999,INDL,C,D,STD,INTERMIX MEDIA INC,USD,I,
062088,2000-03-31,1999,INDL,C,D,STD,NEW FRONTIER MEDIA INC,USD,I,www.noof.com
062093,2000-01-31,1999,INDL,C,D,STD,SOURCE INTERLINK COS INC,USD,I,www.sourceinterlink.com/
062098,2000-03-31,1999,INDL,C,D,STD,CANMINE RESOURCES CORP,CAD,I,
062100,2000-03-31,1999,INDL,C,D,STD,WATCHIT MEDIA INC,USD,I,
062100,2000-12-31,2000,INDL,C,D,STD,WATCHIT MEDIA INC,USD,I,
062101,2000-12-31,2000,INDL,C,D,STD,GEOS COMMUNICATIONS INC,USD,I,geoscommunications.com
062102,2000-12-31,2000,INDL,C,D,STD,POINT WEST CAPITAL CORP,USD,I,
062107,2000-09-30,2000,INDL,C,D,STD,MULTIMEDIA GAMES HOLDING CO,USD,I,www.multimediagames.com
062109,2000-06-30,2000,INDL,C,D,STD,NCS HEALTHCARE INC  -CL A,USD,I,
062110,2000-12-31,2000,INDL,C,D,STD,APRICUS BIOSCIENCES INC,USD,I,www.apricusbio.com
062111,2000-08-31,2000,INDL,C,D,STD,NOFIRE TECHNOLOGIES INC,USD,A,www.nofiretechnologies.com
